Column_Name	Data_Type	Row Count	Distinct_Count	Duplicate_Count	Null_Count	Empty_Count	Value_Count	Min._Value	Max._Value	Min._Length	Max._Length	Avg._Length	Median_Length	RegEx_Matches	Value_Matches
HEALTHCARE.APPOINTMENT.APPIONTMENT_NOTES	VARCHAR	30	6	24	0	0	30	Doesn't Need to Come Back	Sent to See a Specialist	13	25	18	14	Not Performed	Not Performed
HEALTHCARE.APPOINTMENT.APPOINTMENT_NUMBER	VARCHAR	30	30	0	0	0	30	047593589	561676804	9	9	9	9	Not Performed	Not Performed
HEALTHCARE.APPOINTMENT.DOCTOR_ID	VARCHAR	30	20	10	0	0	30	DID0070327425	DID7489180452	13	13	13	13	Not Performed	Not Performed
HEALTHCARE.APPOINTMENT.PATIENT_ID	VARCHAR	30	20	10	0	0	30	PID0135167499	PID6034971390	13	13	13	13	Not Performed	Not Performed
HEALTHCARE.APPOINTMENT.REASON_TYPE	VARCHAR	30	21	9	0	0	30	Anxiety	Upper respiratory Problems	7	33	17	12	Not Performed	Not Performed
HEALTHCARE.APPOINTMENT.SCHEDULED_DATE	DATE	30	24	6	0	0	30	2020-02-09	2020-12-06	10	10	10	10	Not Performed	Not Performed
HEALTHCARE.APPOINTMENT.SCHEDULED_TIME	TIME	30	22	8	0	0	30	09:00:00	16:50:00	8	8	16	16	Not Performed	Not Performed
HEALTHCARE.BILL.AMOUNT_BILLED	DECIMAL	30	21	9	0	0	30	100.56	94.40	5	6	5	5	Not Performed	Not Performed
HEALTHCARE.BILL.AOUNT_PAID	DECIMAL	30	20	10	0	0	30	1.81	8.63	4	5	4	4	Not Performed	Not Performed
HEALTHCARE.BILL.APPOINTMENT_NUMBER	VARCHAR	30	19	11	0	0	30	047593589	561676804	9	9	9	9	Not Performed	Not Performed
HEALTHCARE.BILL.BILL_CREATED	DATE	30	26	4	0	0	30	2020-01-05	2020-11-25	10	10	10	10	Not Performed	Not Performed
HEALTHCARE.BILL.BILL_DUE	DATE	30	30	0	0	0	30	1904-04-10	2022-08-30	10	10	10	10	Not Performed	Not Performed
HEALTHCARE.BILL.BILL_NUMBER	VARCHAR	30	30	0	0	0	30	022361103	620832765	9	9	9	9	Not Performed	Not Performed
HEALTHCARE.DOCTOR.DOCTOR_EMAIL	VARCHAR	30	23	7	0	0	30	america.wiegand@gmail.com	ukoch@halvorson.info	16	34	22	19	Not Performed	Not Performed
HEALTHCARE.DOCTOR.DOCTOR_ID	VARCHAR	30	30	0	0	0	30	DID0070327425	DID7489180452	13	13	13	13	Not Performed	Not Performed
HEALTHCARE.DOCTOR.DOCTOR_NAME	VARCHAR	30	22	8	0	0	30	Dr. Alfred Kaemingk	Dr. Valentina Nizo	13	21	17	16	Not Performed	Not Performed
HEALTHCARE.DOCTOR.DOCTOR_PHONE_NUMBER	VARCHAR	30	24	6	0	0	30	2723695626	9688352806	10	10	10	10	Not Performed	Not Performed
HEALTHCARE.INSURANCE.INSURANCE_ID	VARCHAR	30	30	0	0	0	30	IID006885 	IID597626 	10	10	9	9	Not Performed	Not Performed
HEALTHCARE.INSURANCE.INSURANCE_NAME	VARCHAR	30	18	12	0	0	30	CrossPoint Medical	The MinuteMD	10	30	19	15	Not Performed	Not Performed
HEALTHCARE.INSURANCE.INSURANCE_PHONE_NUMBER	VARCHAR	30	13	17	0	0	30	3938592527	9387284372	10	10	10	10	Not Performed	Not Performed
HEALTHCARE.PATIENT.CITY	VARCHAR	30	30	0	0	0	30	Ada	Virginia Beach	3	14	8	6	Not Performed	Not Performed
HEALTHCARE.PATIENT.DOB	DATE	30	30	0	0	0	30	1908-12-03	2019-08-04	10	10	10	10	Not Performed	Not Performed
HEALTHCARE.PATIENT.EMAIL	VARCHAR	30	26	4	0	0	30	alejandra11@ledner.org	vroberts@hotmail.com	17	29	22	19	Not Performed	Not Performed
HEALTHCARE.PATIENT.FIRST_NAME	VARCHAR	30	30	0	0	0	30	Alfredrick	Zyairra	4	11	6	5	Not Performed	Not Performed
HEALTHCARE.PATIENT.INSURANCE_ID	VARCHAR	30	19	11	0	0	30	IID006885 	IID575180 	10	10	9	9	Not Performed	Not Performed
HEALTHCARE.PATIENT.LAST_NAME	VARCHAR	30	30	0	0	0	30	Abiola	Ziccardi	3	10	6	5	Not Performed	Not Performed
HEALTHCARE.PATIENT.MIDDLE_INITIAL	VARCHAR	30	18	12	0	0	30	A	X	1	1	1	1	Not Performed	Not Performed
HEALTHCARE.PATIENT.PATIENT_ID	VARCHAR	30	30	0	0	0	30	PID0135167499	PID6034971390	13	13	13	13	Not Performed	Not Performed
HEALTHCARE.PATIENT.PHONE	VARCHAR	30	24	6	0	0	30	2295283466	8919154285	10	10	10	10	Not Performed	Not Performed
HEALTHCARE.PATIENT.SSN	VARCHAR	30	30	0	0	0	30	113665650	818314758	9	9	9	9	Not Performed	Not Performed
HEALTHCARE.PATIENT.STATE	VARCHAR	30	23	7	0	0	30	AR	WV	2	2	2	2	Not Performed	Not Performed
